X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_Mg	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW
0.8214151976917679	0.03736837339951992	0.14120502244946082	1.1406459251446272e-05	0.062196906392539414	0.4090680119255156	0.0021417568312120205	0.5265749181291768	7.362688622423144e-05	0.019522524651676143	0.003367399220585722	1854.0779453408722	108678.12779861043	21735.625559722084	57681.177567913146	-5.161446882957537
0.8203405957342347	0.03834800606960975	0.14129969604961176	1.1702146543883025e-05	0.06235972593981553	0.40882687605260665	0.002146493901931507	0.5266485451712324	7.343573765540253e-05	0.019601667052480235	0.0033919417136436757	1854.0804064055205	108978.21490301457	21795.642980602912	57866.53645395069	-5.153599930597699
0.8192758791240502	0.039317874234543325	0.1413942522000811	1.1994441325350295e-05	0.06251987373656163	0.408589160508211	0.002150727600819077	0.5267219263434134	7.324724397933124e-05	0.019681148465059424	0.0034166396853269306	1854.082883032469	109279.06432428477	21855.812864856955	58052.04792148355	-5.145872779794193
0.8182210819601775	0.04027812399187225	0.1414885106567619	1.2283391188362316e-05	0.06267738734657802	0.40835478411321846	0.002154517419789697	0.5267950457813713	7.306135617064414e-05	0.019760970124049336	0.0034414943538489504	1854.0853753433305	109580.67916432321	21916.135832864642	58237.71724114827	-5.13826367444263
0.8171762221828143	0.04122889322584306	0.14158231554959666	1.256904174598834e-05	0.06283230618740428	0.4081236699332955	0.002157915333967487	0.5268678890385616	7.287802708446643e-05	0.01984113327164407	0.003466506927653839	1854.0878834587284	109883.06244009233	21976.612488018465	58423.5493850159	-5.130770789782567
0.816141303772378	0.042170312531299506	0.1416755322594797	1.2851436842830617e-05	0.06298467113062753	0.4078957448616189	0.0021609667709724402	0.526940442933958	7.269721129282545e-05	0.019921639157424224	0.0034916786074327215	1854.0904074985003	110186.21709414377	22037.24341882875	58609.54906048273	-5.12339224992316
0.8151163186479673	0.04310250603694457	0.14176804469635162	1.3130618736466106e-05	0.06313452416566386	0.407670939246959	0.002163711454694973	0.5270126954164466	7.251886494221437e-05	0.02000248903820734	0.0035170105878497434	1854.0929475818698	110490.14600360619	22098.029200721237	58795.720740478835	-5.116126142475896
0.814101248326782	0.0440255921138069	0.14185975293115416	1.3406628256919036e-05	0.06328190810670374	0.4074491865715573	0.002166184137724581	0.5270846354476073	7.234294562778583e-05	0.020083684177917473	0.003542504059094427	1854.095503827602	110794.85198819442	22158.970397638885	58982.068689523854	-5.10897053112731
0.8130960653698907	0.044939683991952924	0.1419505711332104	1.3679504945994784e-05	0.06342686634040312	0.40723042316912145	0.002168415238111063	0.5271562528992937	7.216941228245895e-05	0.020165225847471897	0.003568160208226048	1854.0980763541402	111100.3378171139	22220.06756342278	59168.59698644764	-5.101923466317899
0.8121007346322154	0.04584489031001663	0.14204042577058965	1.3949287178288907e-05	0.06356944261425519	0.407014587972887	0.002170431394312928	0.5272275384622751	7.199822507928747e-05	0.020247115324682558	0.0035939802203528107	1854.100665279721	111406.60621507929	22281.321243015856	59355.309544650096	-5.094982994097669
0.8111152143637188	0.0467413155795582	0.14212925404445453	1.4216012268481547e-05	0.06370968084879215	0.4068016222999358	0.0021722559466488952	0.5272984835682871	7.18293453444328e-05	0.020329353894170423	0.0036199652796936703	1854.103270722483	111713.65986768127	22342.731973536254	59542.210129281804	-5.088147163825671
0.810139457156462	0.047629060606320724	0.14221700252065342	1.4479716563797058e-05	0.06384762498362938	0.4065914696552896	0.0021739093578737267	0.5273690803193373	7.166273548061888e-05	0.020411942847291316	0.003646116570480931	1854.1058928005573	112021.5014259359	22404.30028518718	59729.30237282871	-5.081414034400197
0.8091734107755865	0.04850822285117746	0.1423036259377095	1.474043552657692e-05	0.0639833188431863	0.4063840755618437	0.00217540957868932	0.527439321426556	7.14983588982923e-05	0.020494883482071555	0.0036724352777896332	1854.1085316321482	112330.13351041285	22466.02670208257	59916.5897885073	-5.074781679573223
0.8082170188833236	0.04937889674614128	0.1423890861667293	1.4998203805843613e-05	0.06411680602265352	0.406179387409921	0.0021767723661561475	0.5275092001562808	7.133617995475377e-05	0.020578177103152406	0.0036989225882545084	1854.1111873356074	112639.55871478375	22527.91174295675	60104.07578201567	-5.068248192363384
0.8072702216669769	0.05024117397472316	0.14247335130299893	1.5253055301084107e-05	0.06424812979300278	0.4059773543226112	0.002178011561465618	0.5275787102819457	7.117616389919124e-05	0.020661825021742235	0.003725579690704628	1854.1138600294973	112949.77960893609	22589.95592178722	60291.76366197402	-5.061811688641118
0.8063329563840015	0.05109514372014	0.14255639487264124	1.5505023217273696e-05	0.0643773330220593	0.4057779270353023	0.0021791393322368085	0.5276478460411956	7.101827682399392e-05	0.020745828555575323	0.003752407776733738	1854.1165498326468	113260.79874174125	22652.15974834825	60479.656649184246	-5.055470310018996
0.8054051578415694	0.051940892877161575	0.1426381951411542	1.575414011471325e-05	0.06450445810596711	0.4055810577907121	0.0021801663831929477	0.5277166020987228	7.086248562027612e-05	0.02083018902887668	0.0037794080412121987	1854.119256864203	113572.61864351135	22714.52372870227	60667.757884563216	-5.049222226272286
0.8044867588063573	0.052778506247976135	0.14271873450771505	1.6000437951580348e-05	0.06462954691628418	0.4053867002415776	0.0021811021407598303	0.5277849735118939	7.070875793846393e-05	0.020914907772332167	0.003806581682729452	1854.1219812436757	113885.24182810566	22777.048365621133	60856.07043647514	-5.043065637120546
0.8035776903714674	0.053608066701749	0.14279799897865988	1.6243948123496262e-05	0.06475264075120768	0.40519480936839636	0.002181954912907031	0.5278529557019511	7.055706215167147e-05	0.02099998612306314	0.003833929904010393	1854.1247230909798	114198.67079487984	22839.734158975967	61044.597306744785	-5.036998773797543
0.8026778822631044	0.05442965533092704	0.14287597770447197	1.6484701496495227e-05	0.06487378030229336	0.40500534139973227	0.0021827320300372645	0.5279205444261064	7.040736732346076e-05	0.02108542542460541	0.0038614539122593062	1854.1274825264677	114512.90803028629	22902.581606057258	61233.341436528404	-5.031019900016355
0.801787263121053	0.05524335157189188	0.1429526625786165	1.672272843865643e-05	0.06499300562084634	0.4048182537469958	0.0021834399663566784	0.5279877357550067	7.025964317732064e-05	0.021171227026891542	0.0038891549195037237	1854.1302596709652	114827.95600943881	22965.591201887764	61422.305710891924	-5.025127312906042
0.8009057607191108	0.056049233340525716	0.14302804788151907	1.695805884436286e-05	0.06511035610328418	0.4046335049348122	0.0021840844484039062	0.528054526048482	7.011386007066048e-05	0.021257392286236694	0.003917034142864758	1854.1330546457984	115143.81719733546	23028.763439467093	61611.49296390196	-5.0193193432410705
0.8000333021899131	0.056847377110447454	0.14310212997747815	1.7190722161240377e-05	0.06522587046351766	0.4044510545536265	0.0021846705460208896	0.5281209119395927	6.996998896838693e-05	0.021343922565326995	0.003945092804867138	1854.1358675728236	115460.49405021916	23092.098810043834	61800.90598165075	-5.013594356109755
0.7991698141900869	0.057637858020163274	0.14317490704234012	1.7420747409788884e-05	0.06533958672694778	0.40427086320251304	0.0021852027552391796	0.5281868903149449	6.982800142072811e-05	0.02143081923321099	0.003973332133624274	1854.138698574447	115777.98901639118	23155.597803278237	61990.5475062979	-5.007950750796462
0.7983152230561279	0.05842074995184529	0.1432463788288239	1.7648163202890453e-05	0.06545154222093828	0.4040928924433232	0.002185685069134439	0.5282524582992185	6.968786954183426e-05	0.021518083665292814	0.004001753363093482	1854.141547773649	116096.3045372953	23219.260907459062	62180.42023908412	-5.002386960778056
0.797469454941939	0.059196125598455995	0.14331654646184183	1.7872997763274235e-05	0.06556177356758464	0.4039171047598868	0.0021861210394798964	0.5283176132415512	6.954956599001924e-05	0.02160571724332773	0.004030357733270833	1854.144415294005	116415.44304833064	23283.088609666127	62370.52684291253	-4.996901453631662
0.7966324359233709	0.05996405654141617	0.14338541225627524	1.80952789378886e-05	0.06567031668709505	0.4037434635140531	0.002186513832175993	0.5283823527006883	6.941306394999502e-05	0.021693721355419474	0.004059146490362565	1854.1473012596998	116735.40697955032	23347.081395910063	62560.86994530039	-4.991492730563071
0.7958040921121136	0.06072461329046267	0.1434529795632103	1.8315034213549562e-05	0.06577720679081296	0.40357193291627236	0.0021868662730701017	0.5284466744355657	6.927833711508622e-05	0.02178209739601914	0.004088120886984659	1854.150205795552	117056.19875645933	23411.239751291865	62751.45213995738	-4.986159326301856
0.7949843497325194	0.0614778653464946	0.14351925263025758	1.853229072845889e-05	0.06588247838839752	0.40340247798833984	0.002187180890441533	0.5285105763929032	6.914535967184965e-05	0.021870846765925798	0.004117282182277003	1854.1531290270195	117377.82080044897	23475.564160089794	62942.275989184076	-4.980899808497603
0.7941731351909679	0.06222388125321204	0.14358423648053717	1.87470752829989e-05	0.06598616529439931	0.40323506453083785	0.0021874599516623215	0.5285740566965292	6.901410628550178e-05	0.021959970872288084	0.0041466316420739995	1854.1560710802216	117700.27552944876	23540.05510588975	63133.34402586068	-4.975712777142356
0.7933703751486995	0.06296272862708052	0.1436479368098686	1.8959414351486552e-05	0.06608830062928937	0.4030696590990194	0.0021877054938201253	0.5286371136398499	6.888455208528516e-05	0.02204947112860727	0.004176170539051936	1854.1590320819505	118023.56535847054	23604.71307169411	63324.65875464225	-4.970596864194902
0.7925759965732996	0.06369447419849823	0.14371035989411085	1.916933409134024e-05	0.06618891682806072	0.40290622897508077	0.002187919351770333	0.5286997456769253	6.875667265143747e-05	0.022139348954741445	0.004205900152826843	1854.1620121596825	118347.69269994301	23669.538539988604	63516.22265355277	-4.965550732944988
0.7917899267776095	0.0644191838548313	0.14377151250720835	1.937686035080373e-05	0.0662880456521762	0.40274474214023964	0.002188103183143603	0.5287619514134398	6.863044400320174e-05	0.022229605776910567	0.0042358217700808635	1854.165011441589	118672.65996415158	23734.531992830314	63708.03817564398	-4.960573077268244
0.7910120934674278	0.06513692266096692	0.14383140185292717	1.958201867796271e-05	0.06638571819441999	0.40258516725542665	0.002188258488620264	0.5288237296008865	6.850584258654575e-05	0.022320243027702413	0.00426593668469555	1854.1680300565517	118998.46955969564	23799.693911939128	63900.1077498301	-4.955662621140219
0.7902424247666856	0.06584775489742056	0.14389003550156698	1.9784834327007817e-05	0.06648196489283613	0.40242747363601084	0.002188386631361576	0.5288850791284755	6.838284526349057e-05	0.02241126214607957	0.0042962461978325196	1854.1710681341692	119325.12389372852	23865.024778745705	64092.43378235837	-4.950818117840352
