X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_Mg	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW
0.7677399692831326	0.08660861573084445	0.14562309605905965	2.8318926963124076e-05	0.09849757138428064	0.3863590658573677	0.0028214146979937426	0.5123058714527257	6.430643052880232e-05	0.11413261122912899	0.06532755048009238	1860.202830548083	351677.0973326015	70335.4194665203	191313.5674245474	-4.106838404552888
0.767733537245206	0.08661502146120764	0.14562312149212195	2.8319801464371643e-05	0.09850035400385923	0.386356874283511	0.0028216335970656274	0.5123050616282152	6.430594939535662e-05	0.11460107715783721	0.06577422270528493	1860.2463599668752	352633.1927255238	70526.63854510475	191834.2628759809	-4.106765148225802
0.7677271008823257	0.08662143484915939	0.14562314359948636	2.832066902859176e-05	0.09850313900751351	0.3863546801224325	0.0028218536547743307	0.5123042508472859	6.43054719750562e-05	0.11507146662889586	0.06622394993643682	1860.290178299817	353591.88902608334	70718.37780521667	192356.3770690277	-4.106691833681452
0.7677206596383133	0.08662785642639874	0.14562316240550752	2.8321529780546223e-05	0.09850592663204344	0.3863524831923482	0.0028220748832901484	0.5123034390427681	6.430499819991406e-05	0.1155437875440584	0.06667675309442557	1860.3342874095824	354553.1933298813	70910.63866597626	192879.91393027062	-4.1066184546668305
0.7677142129645861	0.08663428671684675	0.14562317793472362	2.832238384355316e-05	0.09850871711091391	0.3863502833141467	0.0028222972944591195	0.5123026261484797	6.430452800273527e-05	0.11601804783761346	0.0671326532438307	1860.3786891701484	355517.1127521382	71103.42255042764	193404.87739671822	-4.1065450050169225
0.7677077603134655	0.08664072624450252	0.14562319021069248	2.832323133941344e-05	0.09851151067734659	0.3863480803087001	0.0028225209003920316	0.512301812098232	6.430406131714132e-05	0.11649425547651959	0.06759167159357472	1860.4233854668214	356483.65442749026	71296.73088549805	193931.27141666083	-4.106471478574504
0.7677013011410895	0.08664717552996833	0.1456231992565537	2.832407238850054e-05	0.09851430756296495	0.386345873998054	0.002822745713191158	0.5123009968262705	6.430359807752861e-05	0.11697241846053992	0.06805382949820259	1860.4683781963254	357452.82551025593	71490.56510205119	194459.09994933452	-4.106397869225229
0.7676948349106981	0.08665363508662867	0.1456232050955635	2.832490710977687e-05	0.09851710799628237	0.38634366420673394	0.0028229717446722163	0.5123001802677568	6.430313821906675e-05	0.11745254482237792	0.06851914845875545	1860.5136692668473	358424.6331743959	71684.92663487917	194988.3669645418	-4.1063241709368885
0.7676883610838405	0.08666010543093447	0.14562320774960436	2.8325735620826898e-05	0.09851991220675846	0.38634145075822723	0.0028231990071263804	0.5122993623574685	6.430268167766134e-05	0.11793464262781353	0.0689876501236326	1860.5592605980828	359399.0846134612	71879.81692269225	195519.07644377602	-4.106250377654144
0.7676818791286445	0.0866665870726462	0.14562320724067174	2.8326558037685115e-05	0.09852272042097042	0.3863392334783207	0.002823427512577847	0.5122985430310334	6.430222839006461e-05	0.11841871997583933	0.06945935628999071	1860.6051541213337	360376.1870409298	72075.23740818596	196051.23237921228	-4.106176483397798
