X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW
0.7765827106343297	0.07848063772648947	0.14491090980255555	2.5741836625358655e-05	0.0947487804978634	0.3891664797822686	0.0027251242517605037	6.571734530236558e-05	0.03581066175708392	0.00048010290589645376	1853.7882149980173	163032.0916168671	32606.418323373422	88352.15053578152	-4.207348362016338
0.7764737076189994	0.07857982506753153	0.1449206918230761	2.577549039305645e-05	0.09479525588471106	0.38913189643326723	0.0027260149896022575	6.569877102685143e-05	0.03595737164311644	0.0004833814444140682	1853.788544212182	163475.6785081969	32695.13570163938	88596.69536623865	-4.206086834599479
0.7763661382766035	0.07867770808597702	0.14493034493211004	2.5808705309410618e-05	0.09484110939711574	0.3890977757791386	0.002726893885000782	6.568044325653581e-05	0.03610468600596261	0.000486682397836557	1853.7888756766217	163920.46562296033	32784.093124592066	88841.85800136121	-4.204842555778498
0.7762599836059141	0.0787743040777975	0.14493987082915866	2.5841487129656845e-05	0.09488634955925208	0.38906411147560743	0.0027277611030326623	6.566235864594646e-05	0.03625260730422357	0.0004900059192543783	1853.789209406699	164366.45628568236	32873.29125713647	89087.64063086304	-4.203615278967902
0.776155224865994	0.07886963010041237	0.14494927119206055	2.5873841533047857e-05	0.0949309847709218	0.38903089727132306	0.0027286168058764286	6.564451389679134e-05	0.036401138006810364	0.0004933521628045311	1853.7895454178806	164813.65382916032	32962.730765832064	89334.0454442384	-4.20240476145987
0.7760518435635417	0.07896370298549985	0.14495854767683491	2.5905774123428598e-05	0.09497502331354839	0.38899812700311165	0.002729461153319638	6.56269057574525e-05	0.03655028059298407	0.0004967212836773396	1853.7898837257399	165262.06159437817	33052.412318875635	89581.07463130813	-4.201210764246982
0.7759498214554624	0.07905653933592713	0.1449677019181797	2.5937290430657682e-05	0.09501847334932541	0.3889657945967718	0.0027302943025216122	6.560953102208218e-05	0.036700037552395585	0.0005001134381240241	1853.790224345954	165711.6829306629	33142.33658613258	89828.73038198697	-4.200033052029125
0.7758491405421104	0.0791481555324149	0.14497673552956358	2.596839591113904e-05	0.09506134292454231	0.3889338940644855	0.0027311164082333174	6.559238653015046e-05	0.03685041138512608	0.0005035287834636998	1853.7905672943107	166162.5211956395	33232.5042391279	90077.01488653159	-4.198871393108856
0.7757497830644519	0.07923856773610803	0.14498565010349113	2.5999095948959884e-05	0.09510363997113913	0.38890241950366333	0.0027319276228240214	6.55754691656829e-05	0.0370014046017274	0.0005069674780908223	1853.7909125867022	166614.57975531038	33322.915951062074	90325.93033558853	-4.197725559334753
0.7756517315000441	0.07932779189238298	0.14499444721171592	2.6029395857081277e-05	0.09514537230878328	0.38887136509536696	0.0027327280963659714	6.555877585646973e-05	0.03715301972326274	0.0005104296814825081	1853.7912602391316	167067.8619840832	33413.57239681664	90575.47892030489	-4.196595326031245
0.7755549685651973	0.07941584372822523	0.145003128405699	2.605930087833152e-05	0.09518654764416724	0.3888407251049753	0.002733517976423274	6.554230357340685e-05	0.037305259281347564	0.0005139155542059714	1853.7916102677102	167522.37126481504	33504.47425296301	90825.66283211879	-4.195480472003303
0.7754594772029526	0.07950273876438746	0.14501169521647406	2.6088816185867743e-05	0.09522717357665532	0.3888104938777146	0.002734297408528019	6.55260493300785e-05	0.03745812581819071	0.0005174252579257495	1853.7919626886596	167978.11098877373	33595.62219775475	91076.4842632894	-4.1943807793715715
0.7753652405903136	0.07958849230748011	0.1450201491553213	2.6117946884866774e-05	0.0952672575952909	0.3887806658411778	0.002735066535722062	6.551001018174584e-05	0.03761162188663551	0.0005209589554115557	1853.7923175183118	168435.08455579067	33687.016911158134	91327.94540642445	-4.193296033639212
0.7752722421249504	0.07967311946346822	0.14502849171356855	2.614669801277027e-05	0.0953068070849965	0.3887512355004028	0.0027358254990978315	6.549418322504945e-05	0.03776575005020142	0.0005245168105454177	1853.7926747731112	168893.2953741543	33778.65907483086	91580.04845508204	-4.19222602351311
